counter,timestamp
1,7816867
2,7817182
3,7817544
4,7817858
5,7818177
6,7818551
7,7818859
8,7819189
9,7819536
10,7819858
11,7820177
12,7820539
13,7820859
14,7821180
15,7821538
16,7821858
17,7822187
18,7822544
19,7822863
20,7823185
21,7823537
22,7823858
23,7824181
24,7824539
25,7824860
26,7825179
27,7825538
28,7825858
29,7826177
30,7826541
31,7826865
32,7827180
33,7827538
34,7827857
35,7828177
36,7828540
37,7828860
38,7829179
39,7829537
40,7829858
41,7830177
42,7830544
43,7830860
44,7831183
45,7831539
46,7831858
47,7832177
48,7832541
49,7832860
50,7833183
51,7833557
52,7833859
53,7834198
54,7834539
55,7834860
56,7835179
57,7835537
58,7835858
59,7836178
60,7836540
61,7836860
62,7837180
63,7837541
64,7837857
65,7838178
66,7838539
67,7838861
68,7839179
69,7839539
70,7839858
71,7840181
72,7840540
73,7840861
74,7841182
75,7841551
76,7841857
77,7842177
78,7842540
79,7842859
80,7843179
81,7843539
82,7843866
83,7844180
84,7844540
85,7844860
86,7845179
87,7845538
88,7845858
89,7846179
90,7846543
91,7846862
92,7847182
93,7847538
94,7847859
95,7848179
96,7848547
97,7848880
98,7849195
99,7849537
100,7849861
101,7850177
102,7850539
103,7850859
104,7851181
105,7851538
106,7851858
107,7852178
108,7852539
109,7852860
110,7853179
